order_id,order_date,customer_id,store_id,product_id,quantity,unit_price,discount,shipping_cost,sales_channel,returned
ORD-100000,2025-06-21,CUS-0169,STR-103,PRD-009-S,2,89.0,0.15,11.99,Store,No
ORD-100000,2025-09-16,CUS-0245,STR-106,PRD-011-S,2,34.0,0,11.99,Store,No
ORD-100001,2025-07-16,CUS-0211,STR-102,PRD-015-T,1,49.32,0,4.99,Phone,No
ORD-100001,2025-12-08,CUS-0160,STR-101,PRD-008-S,5,18.0,0.1,0,Store,No
ORD-100002,2025-04-03,CUS-0107,STR-102,PRD-013-T,1,18.88,0,0,Store,No
ORD-100002,2025-12-07,CUS-0178,STR-105,PRD-005-S,3,55.0,0.05,4.99,Online,No
ORD-100003,2025-10-17,CUS-0094,STR-102,PRD-005-S,1,52.25,0.05,11.99,Store,No
ORD-100003,2025-07-03,CUS-0166,STR-106,PRD-014-S,2,36.75,0,11.99,Online,Yes
ORD-100004,2025-03-15,CUS-0185,STR-101,PRD-001-T,2,234.17,0.1,0,Phone,Yes
ORD-100004,2025-02-22,CUS-0203,STR-103,PRD-019-T,4,17.7,0.15,0,Online,No
ORD-100005,2025-05-29,CUS-0063,STR-107,PRD-006-T,1,140.42,0.1,0,Online,No
ORD-100005,2025-06-17,CUS-0140,STR-102,PRD-020-S,2,54.0,0,4.99,Online,No
ORD-100006,2025-11-22,CUS-0137,STR-104,PRD-012-S,1,22.0,0.15,11.99,Phone,No
ORD-100006,2025-12-07,CUS-0205,STR-105,PRD-008-S,1,18.0,0,0,Online,No
ORD-100007,2025-01-06,CUS-0012,STR-101,PRD-010-T,1,69.62,0.1,0,Online,No
ORD-100007,2025-12-04,CUS-0230,STR-102,PRD-009-S,1,89.0,0.15,4.99,Store,No
ORD-100008,2025-11-20,CUS-0150,STR-107,PRD-009-T,4,99.77,0.1,11.99,Phone,No
ORD-100008,2025-01-09,CUS-0103,STR-101,PRD-012-T,1,24.66,0.05,0,Online,No
ORD-100009,2025-12-27,CUS-0065,STR-102,PRD-003-S,2,44.1,0.1,7.99,Store,No
ORD-100009,2025-10-03,CUS-0163,STR-107,PRD-013-S,2,15.2,0.15,0,Online,No
